url,published_date,newspaper_name,county
https://www.britishnewspaperarchive.co.uk/viewer/bl/0000082/18510812/016/0006,Tuesday 12 August 1851,Morning Chronicle,"London, England"
https://www.britishnewspaperarchive.co.uk/viewer/bl/0000082/18511015/005/0003,Wednesday 15 October 1851,Morning Chronicle,"London, England"
https://www.britishnewspaperarchive.co.uk/viewer/bl/0002752/18510503/064/0010,Saturday 03 May 1851,Standard of Freedom,"London, England"
https://www.britishnewspaperarchive.co.uk/viewer/bl/0002254/18510712/063/0011,Saturday 12 July 1851,Lady's Newspaper and Pictorial Times,"London, England"
https://www.britishnewspaperarchive.co.uk/viewer/bl/0000051/18520913/002/0002,Monday 13 September 1852,Daily News (London),"London, England"
https://www.britishnewspaperarchive.co.uk/viewer/bl/0000082/18510919/006/0003,Friday 19 September 1851,Morning Chronicle,"London, England"
https://www.britishnewspaperarchive.co.uk/viewer/bl/0000082/18501106/017/0004,Wednesday 06 November 1850,Morning Chronicle,"London, England"
https://www.britishnewspaperarchive.co.uk/viewer/bl/0000051/18510724/014/0005,Thursday 24 July 1851,Daily News (London),"London, England"
https://www.britishnewspaperarchive.co.uk/viewer/bl/0000082/18510224/012/0004,Monday 24 February 1851,Morning Chronicle,"London, England"
https://www.britishnewspaperarchive.co.uk/viewer/bl/0000082/18511013/009/0003,Monday 13 October 1851,Morning Chronicle,"London, England"
https://www.britishnewspaperarchive.co.uk/viewer/bl/0000082/18511030/006/0003,Thursday 30 October 1851,Morning Chronicle,"London, England"
https://www.britishnewspaperarchive.co.uk/viewer/bl/0000082/18511010/007/0003,Friday 10 October 1851,Morning Chronicle,"London, England"
https://www.britishnewspaperarchive.co.uk/viewer/bl/0000051/18510320/018/0006,Thursday 20 March 1851,Daily News (London),"London, England"
https://www.britishnewspaperarchive.co.uk/viewer/bl/0000082/18510707/002/0002,Monday 07 July 1851,Morning Chronicle,"London, England"
https://www.britishnewspaperarchive.co.uk/viewer/bl/0000053/18510824/031/0011,Sunday 24 August 1851,The Era,"London, England"
https://www.britishnewspaperarchive.co.uk/viewer/bl/0000082/18510516/013/0006,Friday 16 May 1851,Morning Chronicle,"London, England"
https://www.britishnewspaperarchive.co.uk/viewer/bl/0000051/18510526/018/0006,Monday 26 May 1851,Daily News (London),"London, England"
https://www.britishnewspaperarchive.co.uk/viewer/bl/0002977/18510618/039/0004,Wednesday 18 June 1851,Swansea and Glamorgan Herald,"Glamorgan, Wales"
https://www.britishnewspaperarchive.co.uk/viewer/bl/0000082/18510923/007/0003,Tuesday 23 September 1851,Morning Chronicle,"London, England"
https://www.britishnewspaperarchive.co.uk/viewer/bl/0003028/18510917/132/0016,Wednesday 17 September 1851,British Banner 1848,"London, England"
https://www.britishnewspaperarchive.co.uk/viewer/bl/0002265/18511004/222/0033,Saturday 04 October 1851,Weekly Chronicle (London),"London, England"
https://www.britishnewspaperarchive.co.uk/viewer/bl/0002194/18510704/134/0008,Friday 04 July 1851,Sun (London),"London, England"
https://www.britishnewspaperarchive.co.uk/viewer/bl/0000082/18511115/022/0005,Saturday 15 November 1851,Morning Chronicle,"London, England"
https://www.britishnewspaperarchive.co.uk/viewer/bl/0000840/18510614/002/0001,Saturday 14 June 1851,Waterford Chronicle,"Waterford, Republic of Ireland"
https://www.britishnewspaperarchive.co.uk/viewer/bl/0002254/18510628/053/0005,Saturday 28 June 1851,Lady's Newspaper and Pictorial Times,"London, England"
https://www.britishnewspaperarchive.co.uk/viewer/bl/0000155/18511002/106/0005,Thursday 02 October 1851,Bradford Observer,"Yorkshire, England"
https://www.britishnewspaperarchive.co.uk/viewer/bl/0003028/18511105/041/0009,Wednesday 05 November 1851,British Banner 1848,"London, England"
https://www.britishnewspaperarchive.co.uk/viewer/bl/0003028/18510910/051/0010,Wednesday 10 September 1851,British Banner 1848,"London, England"
